Tamanho Tabela,Tamanho Dados,Função Hash,Tempo Inserção (ms),Colisões,Média Tempo Busca (ns),Média Comparações
10,5000000,1,122,4999990,6688869.00,777011.00
1000,1000000,3,15,999000,194288.00,3217.00
10,1000000,1,45,999990,19438138.00,311389.00
1000,1000000,2,14,999000,264349.00,3590.00
10,1000000,2,38,999990,8797465.00,231324.00
1000,1000000,1,312,999000,115032.00,2866.00
1000,5000000,3,70,4999000,1020129.00,13427.00
10,1000000,3,75,999990,2893451.00,207866.00
1000,5000000,2,81,4999000,975271.00,11935.00
10,20000000,3,583,19999990,58186883.00,5543049.00
1000,20000000,1,646,19999000,673939.00,36940.00
1000,20000000,2,423,19999000,1169132.00,31705.00
100,20000000,1,601,19999900,6185120.00,500490.00
100,20000000,2,652,19999900,10401819.00,724316.00
100,1000000,1,21,999900,2265649.00,33011.00
100,20000000,3,420,19999900,20896321.00,461735.00
100,1000000,2,20,999900,1804792.00,25019.00
100,1000000,3,20,999900,1537818.00,22685.00
1000,20000000,3,779,19999000,1263420.00,65137.00
100,5000000,1,208,4999900,1881433.00,149017.00
100,5000000,2,227,4999900,1548709.00,133987.00
100,5000000,3,185,4999900,5694391.00,187656.00
10,20000000,2,466,19999990,36451306.00,3112078.00
10,20000000,1,461,19999990,79809438.00,6248432.00
1000,5000000,1,47,4999000,1040039.00,13852.00
10,5000000,2,109,4999990,45365918.00,1564232.00
10,5000000,3,141,4999990,8780465.00,777044.00
